Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-04-04 00:00:00,2026-04-24 21:20:00,3.614,0.094,235.91,15.4,1,0,17
2010-02-14 00:00:00,2026-04-24 17:54:00,2.03,0.126,235.36,8.6,0,0,17
2007-06-24 00:00:00,2026-04-24 11:11:00,0.206,0.098,236.79,1,0,1,0
2008-09-04 00:00:00,2026-04-24 09:32:00,1.442,0.11,243.24,5.8,0,0,18
2009-11-06 00:00:00,2026-04-24 10:54:00,1.49,0.094,238.53,6.2,0,0,18
2009-05-13 00:00:00,2026-04-24 17:32:00,0.304,0,241.45,1.4,0,0,0
2007-10-26 00:00:00,2026-04-24 17:40:00,0.394,0,244.92,1.8,0,0,0
2009-12-07 00:00:00,2026-04-24 15:32:00,0.306,0.246,243.91,1.6,0,0,1
2007-03-07 00:00:00,2026-04-24 14:38:00,0.4,0.302,238.44,2,0,2,0
2007-09-01 00:00:00,2026-04-24 08:57:00,1.348,0,239.77,5.6,1,0,17
2008-11-10 00:00:00,2026-04-24 17:42:00,0.54,0.074,241.94,2.2,0,4,1
2006-12-27 00:00:00,2026-04-24 22:22:00,1.232,0,241.84,5,0,0,0
2007-10-23 00:00:00,2026-04-24 20:14:00,2.438,0,239.78,10,0,0,17
2009-09-24 00:00:00,2026-04-24 00:02:00,0.288,0.24,243.54,1.4,0,1,1
2007-01-13 00:00:00,2026-04-24 01:56:00,0.34,0.208,240.53,1.6,0,1,0
2009-08-20 00:00:00,2026-04-24 21:30:00,0.206,0.094,239.46,1,0,0,0
2008-09-12 00:00:00,2026-04-24 06:11:00,0.32,0.09,245.84,1.4,0,0,0
2009-03-17 00:00:00,2026-04-24 07:12:00,1.596,0,240.87,6.6,0,0,17
2007-08-16 00:00:00,2026-04-24 01:13:00,0.442,0.23,238.75,2,0,0,0
2010-11-21 00:00:00,2026-04-24 16:14:00,0.392,0.196,241.64,1.8,0,1,0
2009-04-20 00:00:00,2026-04-24 09:53:00,1.66,0.054,237.56,7,0,0,18
2007-11-21 00:00:00,2026-04-24 07:15:00,1.778,0.216,240.62,7.4,0,0,18
2008-12-03 00:00:00,2026-04-24 01:27:00,1.394,0.094,241.44,5.8,0,0,18
2009-04-22 00:00:00,2026-04-24 02:39:00,0.358,0.098,241.97,1.6,0,0,1
2008-05-26 00:00:00,2026-04-24 17:23:00,0.444,0.156,242.51,2,0,0,1
2007-10-14 00:00:00,2026-04-24 04:32:00,0.334,0.092,240.76,1.4,0,0,0
2010-08-24 00:00:00,2026-04-24 10:55:00,0.268,0.072,241.14,1.2,0,0,1
2007-08-29 00:00:00,2026-04-24 00:07:00,0.212,0.116,244.46,1,0,0,0
2010-07-30 00:00:00,2026-04-24 23:34:00,0.252,0.112,238.68,1.2,0,0,1
2008-02-16 00:00:00,2026-04-24 22:44:00,2.634,0.09,239.77,11,0,0,17
2007-04-12 00:00:00,2026-04-24 07:02:00,2.29,0,237.56,9.6,0,0,17
2009-06-26 00:00:00,2026-04-24 01:54:00,0.282,0.188,237.97,1.4,0,2,1
2009-12-04 00:00:00,2026-04-24 21:21:00,6.028,0.5,232.79,26,43,1,17
2008-11-27 00:00:00,2026-04-24 03:13:00,1.172,0,241.92,6.2,0,0,0
2008-10-29 00:00:00,2026-04-24 21:07:00,0.676,0.064,240.17,2.8,0,0,0
2007-08-12 00:00:00,2026-04-24 07:54:00,3.96,0.222,234.63,17,0,0,17
2007-12-13 00:00:00,2026-04-24 13:12:00,1.488,0,240.95,6.2,0,0,18
2008-05-07 00:00:00,2026-04-24 13:57:00,1.33,0.084,238.64,5.6,1,0,18
2010-07-10 00:00:00,2026-04-24 12:23:00,3.928,0.44,239.06,17.2,25,1,30
2010-07-05 00:00:00,2026-04-24 13:55:00,1.462,0.892,237.7,7.6,0,0,0
2008-03-30 00:00:00,2026-04-24 23:21:00,0.264,0,244.5,1,0,0,0
2008-11-10 00:00:00,2026-04-24 03:05:00,0.24,0,240.83,1,0,0,1
2007-03-11 00:00:00,2026-04-24 03:18:00,0.284,0.084,243.64,1.2,0,0,0
2010-06-07 00:00:00,2026-04-24 05:36:00,0.164,0,241.9,0.8,0,0,0
2010-12-09 00:00:00,2026-04-24 06:40:00,0.17,0,241.9,1,0,0,0
2010-11-19 00:00:00,2026-04-24 06:15:00,0.282,0,245.79,1.2,0,0,0
2010-04-28 00:00:00,2026-04-24 02:54:00,0.38,0.086,242.81,1.8,0,0,3
2010-07-30 00:00:00,2026-04-24 19:37:00,0.158,0,239.73,0.6,0,0,0
2010-07-05 00:00:00,2026-04-24 16:42:00,0.44,0.074,237.68,1.8,0,0,1
2007-12-07 00:00:00,2026-04-24 16:52:00,0.234,0.12,241.13,1,0,0,0
2007-06-28 00:00:00,2026-04-24 00:29:00,0.388,0.25,241.43,1.8,0,1,0
2010-04-17 00:00:00,2026-04-24 19:16:00,2.052,0.308,238.42,8.6,0,2,28
2009-08-08 00:00:00,2026-04-24 03:34:00,0.138,0,242.75,0.6,0,0,0
2008-12-08 00:00:00,2026-04-24 06:34:00,0.176,0.152,240.52,0.8,0,0,0
2007-05-28 00:00:00,2026-04-24 09:20:00,1.436,0.26,231.46,6.2,0,1,16
2007-10-13 00:00:00,2026-04-24 11:14:00,0.324,0.076,238.24,1.4,0,0,0
2009-08-04 00:00:00,2026-04-24 18:46:00,0.31,0,243.91,1.2,0,0,1
2007-01-09 00:00:00,2026-04-24 23:31:00,3.422,0.232,240.54,14.2,0,0,17
2008-05-16 00:00:00,2026-04-24 21:15:00,2.16,0.432,237.28,9.2,1,0,18
2007-08-21 00:00:00,2026-04-24 03:56:00,0.2,0.126,240.02,1,0,0,0
2009-12-08 00:00:00,2026-04-24 18:37:00,0.266,0.134,241.37,1.2,0,1,0
2007-10-31 00:00:00,2026-04-24 09:07:00,0.31,0.112,243.04,1.4,0,0,0
2009-01-08 00:00:00,2026-04-24 06:44:00,0.14,0,241.84,0.6,0,0,1
2007-12-14 00:00:00,2026-04-24 01:25:00,0.314,0.086,245.04,1.4,0,0,0
2008-04-03 00:00:00,2026-04-24 13:06:00,2.14,0.19,239.41,9,0,1,17
2009-03-16 00:00:00,2026-04-24 17:43:00,0.298,0.066,243.14,1.2,0,0,0
2010-05-29 00:00:00,2026-04-24 14:26:00,1.618,0.184,242.77,6.6,0,0,19
2007-09-06 00:00:00,2026-04-24 08:35:00,1.474,0.206,236.77,6.2,0,1,17
2009-05-19 00:00:00,2026-04-24 00:03:00,0.352,0.112,242.82,1.4,0,0,1
2007-05-05 00:00:00,2026-04-24 09:09:00,1.488,0.084,232.81,6.4,0,0,16
2008-09-27 00:00:00,2026-04-24 18:10:00,1.538,0.122,240.8,6.4,0,0,19
2010-05-17 00:00:00,2026-04-24 00:27:00,1.57,0.216,242.83,6.4,0,2,18
2007-09-11 00:00:00,2026-04-24 07:23:00,1.658,0.118,239.11,6.8,0,0,17
2010-01-18 00:00:00,2026-04-24 11:02:00,1.494,0,245.98,6,0,0,19
2007-01-30 00:00:00,2026-04-24 19:41:00,1.792,0.168,240.68,7.4,0,0,0
2009-09-21 00:00:00,2026-04-24 02:44:00,0.286,0.118,242.94,1.2,0,0,0
2009-06-24 00:00:00,2026-04-24 21:43:00,1.788,0.326,243.23,7.6,2,2,6
2008-04-14 00:00:00,2026-04-24 12:19:00,1.498,0.094,241.56,6.2,0,0,19
2009-12-10 00:00:00,2026-04-24 17:06:00,0.218,0,241.42,0.8,0,0,1
2009-10-22 00:00:00,2026-04-24 13:51:00,1.476,0.198,242.3,6,0,0,19
2009-04-24 00:00:00,2026-04-24 20:18:00,0.474,0.104,242.72,2,0,0,0
2009-08-25 00:00:00,2026-04-24 00:37:00,0.354,0.254,241.68,1.8,0,1,0
2009-07-29 00:00:00,2026-04-24 15:59:00,0.33,0.218,241.42,1.6,0,0,0
2009-07-03 00:00:00,2026-04-24 15:51:00,1.574,0.186,243.58,6.4,0,0,18
2008-04-14 00:00:00,2026-04-24 01:27:00,0.35,0.112,244.56,1.4,0,0,1
2009-01-23 00:00:00,2026-04-24 01:05:00,0.27,0,249.64,1.2,0,0,0
2007-10-09 00:00:00,2026-04-24 11:08:00,0.124,0,236.87,0.6,0,0,0
2009-10-01 00:00:00,2026-04-24 02:35:00,0.222,0,249.2,0.8,0,0,0
2008-09-19 00:00:00,2026-04-24 13:57:00,0.236,0.112,242.45,1,0,0,0
2010-01-25 00:00:00,2026-04-24 07:22:00,2.45,0,241.1,10,0,0,19
2010-02-01 00:00:00,2026-04-24 04:50:00,0.26,0,248.18,1,0,0,1
2009-05-06 00:00:00,2026-04-24 13:35:00,1.388,0.184,236.8,5.8,0,0,17
2009-03-13 00:00:00,2026-04-24 16:26:00,0.256,0,244.25,1,0,0,0
2010-11-11 00:00:00,2026-04-24 18:49:00,1.5,0.054,231.47,6.4,0,0,0
2009-05-04 00:00:00,2026-04-24 09:29:00,0.446,0.054,241.64,2,1,0,0
2008-08-03 00:00:00,2026-04-24 03:41:00,0.266,0,243.44,1.2,0,0,0
2010-11-18 00:00:00,2026-04-24 14:57:00,0.34,0.082,244.24,1.4,0,0,0
2009-09-23 00:00:00,2026-04-24 21:35:00,1.804,0.25,239.97,7.6,2,2,1
2007-03-11 00:00:00,2026-04-24 06:17:00,0.288,0.098,242.06,1.2,0,1,0
2009-12-17 00:00:00,2026-04-24 04:30:00,1.494,0.13,248.17,6,0,0,20
2008-01-12 00:00:00,2026-04-24 10:43:00,1.694,0.18,241.21,7,0,2,18
2008-06-28 00:00:00,2026-04-24 09:18:00,2.764,0.088,234.96,11.8,0,37,1
2009-12-01 00:00:00,2026-04-24 10:40:00,1.44,0.166,243.93,5.8,0,1,18
2009-03-02 00:00:00,2026-04-24 22:56:00,1.644,0.154,246.39,6.6,0,0,0
2010-05-11 00:00:00,2026-04-24 12:55:00,1.496,0.1,242.56,6.2,0,0,19
2008-11-23 00:00:00,2026-04-24 06:58:00,0.34,0,241.01,1.4,0,0,0
2007-04-19 00:00:00,2026-04-24 01:11:00,0.596,0.126,238.65,2.6,0,0,0
2010-07-29 00:00:00,2026-04-24 22:08:00,0.344,0.236,240.99,1.6,0,1,1
2010-07-19 00:00:00,2026-04-24 10:15:00,0.262,0.126,241.21,1.2,0,0,0
2008-08-03 00:00:00,2026-04-24 20:48:00,3.868,0.32,236.69,16.4,38,0,0
2009-09-01 00:00:00,2026-04-24 16:20:00,0.588,0.12,246.95,2.8,0,1,0
2007-11-08 00:00:00,2026-04-24 22:20:00,0.27,0.218,236.39,1.4,0,0,0
2008-04-06 00:00:00,2026-04-24 19:21:00,0.534,0,234.55,3,0,0,6
2008-08-21 00:00:00,2026-04-24 06:45:00,0.08,0,240.69,0.2,0,0,1
2009-06-29 00:00:00,2026-04-24 08:37:00,0.896,0.114,240.5,4.2,2,1,10
2010-06-09 00:00:00,2026-04-24 01:40:00,0.276,0.09,243.46,1.2,0,0,0
2008-07-10 00:00:00,2026-04-24 10:39:00,1.43,0.05,235.04,6,0,0,18
2008-07-28 00:00:00,2026-04-24 23:50:00,0.454,0.142,244.79,2.2,0,0,0
2010-10-11 00:00:00,2026-04-24 14:04:00,3.522,0.066,235.68,14.8,0,35,18
2007-01-07 00:00:00,2026-04-24 03:50:00,0.322,0.104,240.26,1.4,0,0,0
2007-08-20 00:00:00,2026-04-24 18:14:00,0.21,0.146,241.92,1,0,0,0
2010-09-15 00:00:00,2026-04-24 06:13:00,0.254,0.07,242.54,1,0,0,1
2008-02-19 00:00:00,2026-04-24 06:11:00,0.338,0.088,241.91,1.4,0,0,0
2009-06-26 00:00:00,2026-04-24 01:10:00,0.138,0,243.11,0.6,0,0,0
2008-10-18 00:00:00,2026-04-24 10:57:00,1.59,0.05,239.92,6.6,0,0,18
2007-09-01 00:00:00,2026-04-24 16:53:00,1.738,0.096,238.94,7.2,0,0,17
2009-09-11 00:00:00,2026-04-24 20:11:00,1.798,0.124,243.09,7.4,2,0,1
2007-08-26 00:00:00,2026-04-24 06:41:00,0.114,0,242.55,0.4,0,0,0
2007-08-07 00:00:00,2026-04-24 23:38:00,2.174,0.23,240.44,9,0,0,16
2008-12-11 00:00:00,2026-04-24 16:17:00,0.544,0.132,241.94,2.2,0,1,0
2008-03-17 00:00:00,2026-04-24 00:38:00,1.306,0.056,242.43,5.4,0,0,18
2009-01-14 00:00:00,2026-04-24 10:32:00,1.67,0,242.47,6.8,0,0,18
2009-10-17 00:00:00,2026-04-24 04:42:00,0.386,0.198,241.22,1.8,0,1,1
2009-08-05 00:00:00,2026-04-24 01:43:00,0.532,0,241.03,2.6,0,0,6
2009-03-06 00:00:00,2026-04-24 23:21:00,0.566,0,241.88,2.2,0,0,1
2008-06-30 00:00:00,2026-04-24 10:34:00,1.454,0.1,237.31,6.2,0,0,18
2008-02-19 00:00:00,2026-04-24 20:10:00,2.754,0.088,234.52,11.8,0,0,0
2009-03-08 00:00:00,2026-04-24 13:30:00,0.246,0.14,243.18,1.2,0,0,1
2009-05-28 00:00:00,2026-04-24 00:20:00,0.512,0.184,233.32,2.2,0,1,0
2008-03-04 00:00:00,2026-04-24 14:34:00,0.216,0,242.83,0.8,0,0,0
2010-03-03 00:00:00,2026-04-24 09:20:00,1.318,0,239.18,5.4,0,0,18
2007-05-05 00:00:00,2026-04-24 04:01:00,0.218,0.112,238.21,1,0,0,0
2009-12-24 00:00:00,2026-04-24 13:38:00,1.424,0,249.11,5.6,0,0,19
2007-05-20 00:00:00,2026-04-24 08:18:00,0.556,0.152,235.83,2.6,0,1,0
2010-04-11 00:00:00,2026-04-24 07:15:00,2.74,0.512,244.43,11.4,0,0,30
2008-11-20 00:00:00,2026-04-24 04:55:00,0.36,0,241.48,1.6,0,0,0
2007-06-07 00:00:00,2026-04-24 16:20:00,0.27,0.208,240.61,1.4,0,2,0
2007-06-03 00:00:00,2026-04-24 17:15:00,0.266,0,242.39,1.2,0,1,0
2007-02-17 00:00:00,2026-04-24 10:53:00,0.33,0.124,238.78,1.4,0,0,0
2009-01-01 00:00:00,2026-04-24 09:44:00,0.542,0,241.12,2.4,0,0,0
2008-10-07 00:00:00,2026-04-24 06:55:00,1.942,0.214,236.05,8.2,0,1,18
2010-08-09 00:00:00,2026-04-24 10:57:00,0.516,0.318,242.96,2.8,0,2,1
2007-12-31 00:00:00,2026-04-24 21:52:00,1.568,0.056,236.62,6.6,0,0,17
2009-08-08 00:00:00,2026-04-24 02:14:00,0.31,0.258,241.77,1.6,0,1,0
2009-04-05 00:00:00,2026-04-24 19:35:00,0.574,0.13,239.53,2.4,0,0,1
2008-10-21 00:00:00,2026-04-24 07:32:00,1.618,0.274,237.85,6.8,0,2,0
2010-08-27 00:00:00,2026-04-24 14:36:00,1.87,0.166,240.38,8,1,0,18
2010-03-19 00:00:00,2026-04-24 00:24:00,0.416,0,243.13,1.6,0,0,1
2010-07-22 00:00:00,2026-04-24 03:48:00,1.366,0.202,240.16,5.6,0,1,1
2007-11-03 00:00:00,2026-04-24 07:19:00,2.438,0.07,241.8,10,0,2,0
2010-05-09 00:00:00,2026-04-24 17:46:00,0.334,0.072,243.01,1.6,0,0,1
2010-08-06 00:00:00,2026-04-24 17:37:00,0.65,0.206,242.67,2.8,0,1,0
2008-10-04 00:00:00,2026-04-24 22:41:00,1.652,0.098,239.87,6.8,0,1,1
2009-10-10 00:00:00,2026-04-24 05:18:00,0.31,0.104,242.84,1.2,0,0,1
2008-04-10 00:00:00,2026-04-24 16:19:00,1.378,0.25,242.5,5.8,0,0,0
2007-03-21 00:00:00,2026-04-24 03:02:00,0.308,0.1,244.48,1.2,0,1,0
2009-07-14 00:00:00,2026-04-24 17:59:00,0.466,0.294,241.9,2.4,0,0,0
2007-10-19 00:00:00,2026-04-24 04:45:00,0.308,0.082,240.53,1.2,0,2,0
2006-12-22 00:00:00,2026-04-24 19:19:00,4.476,0.248,237.39,18.8,0,0,17
2006-12-19 00:00:00,2026-04-24 05:16:00,0.242,0,244.06,1,0,0,0
2008-06-04 00:00:00,2026-04-24 08:23:00,0.256,0,242.09,1,0,0,1
2007-11-21 00:00:00,2026-04-24 12:18:00,1.27,0.052,238.6,5.2,0,0,17
2009-07-06 00:00:00,2026-04-24 03:57:00,0.242,0.098,242.89,1,0,0,0
2008-10-21 00:00:00,2026-04-24 06:22:00,0.326,0,239.81,1.4,0,0,1
2008-01-05 00:00:00,2026-04-24 14:58:00,1.432,0.108,242.88,5.8,0,0,19
2009-08-19 00:00:00,2026-04-24 07:36:00,1.406,0.108,239.43,5.8,0,0,18
2010-08-24 00:00:00,2026-04-24 01:02:00,0.338,0.218,240.21,1.6,0,1,1
2008-11-28 00:00:00,2026-04-24 05:08:00,0.312,0.094,245.15,1.2,0,0,0
2008-06-13 00:00:00,2026-04-24 08:50:00,1.792,0.102,236.85,7.6,0,0,18
2009-08-07 00:00:00,2026-04-24 20:51:00,0.596,0.12,242.34,2.4,0,0,1
2009-11-17 00:00:00,2026-04-24 04:48:00,0.226,0,241.78,0.8,0,0,1
2007-01-03 00:00:00,2026-04-24 21:26:00,0.298,0.106,239.62,1.2,0,1,0
2008-05-28 00:00:00,2026-04-24 15:54:00,0.712,0.194,241.55,3.2,1,0,7
2008-03-24 00:00:00,2026-04-24 20:03:00,3.044,0,239.66,12.8,0,2,18
2010-01-31 00:00:00,2026-04-24 06:06:00,1.53,0.212,245.26,6.2,0,0,19
2008-06-26 00:00:00,2026-04-24 21:26:00,1.83,0.32,237.39,7.8,0,1,18
2009-08-14 00:00:00,2026-04-24 11:35:00,0.442,0.254,242.64,2,0,0,1
2007-08-12 00:00:00,2026-04-24 09:50:00,1.358,0,239.64,5.6,1,0,17
2007-11-30 00:00:00,2026-04-24 22:31:00,0.826,0.256,244.7,3.6,0,2,0
2009-04-30 00:00:00,2026-04-24 09:01:00,1.508,0.104,241.83,6.2,1,0,18
2010-07-26 00:00:00,2026-04-24 23:56:00,1.604,0,240.59,6.6,0,1,1
2008-05-15 00:00:00,2026-04-24 04:29:00,0.234,0.12,240.38,1,0,1,0
2010-09-05 00:00:00,2026-04-24 22:34:00,0.364,0.082,242.3,1.6,0,0,0
2007-01-13 00:00:00,2026-04-24 01:24:00,0.214,0,240.52,1,0,0,0
2009-05-12 00:00:00,2026-04-24 17:49:00,1.798,0.332,238.5,7.6,0,2,1
2008-02-03 00:00:00,2026-04-24 14:28:00,1.64,0.226,240.55,8.2,0,17,0
2008-06-26 00:00:00,2026-04-24 00:03:00,1.034,0.342,240.92,4.4,0,1,12
2009-12-03 00:00:00,2026-04-24 18:38:00,0.574,0,242.56,2.4,0,0,0
2007-05-14 00:00:00,2026-04-24 20:32:00,1.358,0.368,235.53,6,0,1,0
2009-06-07 00:00:00,2026-04-24 09:20:00,1.336,0.202,240.24,5.6,0,1,18
2007-08-20 00:00:00,2026-04-24 01:46:00,0.134,0,241.4,0.6,0,0,0
2009-09-02 00:00:00,2026-04-24 12:03:00,1.714,0,237.28,7.4,1,0,17
2008-03-13 00:00:00,2026-04-24 09:06:00,1.696,0.054,241.15,7,0,0,18
2010-08-09 00:00:00,2026-04-24 06:19:00,0.188,0.048,240.83,0.8,0,0,0
2007-04-16 00:00:00,2026-04-24 17:22:00,1.326,0,240.84,5.4,0,0,18
2009-11-06 00:00:00,2026-04-24 18:35:00,0.522,0.12,240.96,2.4,0,0,0
2007-05-08 00:00:00,2026-04-24 12:36:00,1.196,0.104,233.45,5,0,0,17
2007-01-05 00:00:00,2026-04-24 07:07:00,0.234,0.104,236.68,1,0,0,0
2007-11-20 00:00:00,2026-04-24 20:56:00,3.66,0.472,237.75,16.2,0,0,0
2010-04-28 00:00:00,2026-04-24 17:31:00,0.24,0,242.58,1,0,0,1
2007-05-03 00:00:00,2026-04-24 01:49:00,0.244,0,241.83,1,0,0,0
2009-02-20 00:00:00,2026-04-24 15:58:00,0.462,0.104,241.38,2.2,0,0,0
2007-08-28 00:00:00,2026-04-24 19:21:00,1.32,0,240.4,5.4,0,1,18
2009-05-04 00:00:00,2026-04-24 14:08:00,0.454,0.172,243.29,2,0,0,0
2010-11-24 00:00:00,2026-04-24 21:19:00,1.868,0.058,230.12,8,0,0,17
2010-08-14 00:00:00,2026-04-24 03:10:00,0.262,0.124,242.71,1.2,0,0,1
2007-08-04 00:00:00,2026-04-24 18:27:00,0.29,0.114,242.19,1.2,0,1,0
2009-10-18 00:00:00,2026-04-24 21:39:00,2.012,0,239.22,8.4,0,2,1
2009-07-12 00:00:00,2026-04-24 02:40:00,0.27,0,244.82,1.2,0,0,1
2009-12-07 00:00:00,2026-04-24 19:40:00,0.316,0.252,240.95,1.6,0,1,0
2007-10-30 00:00:00,2026-04-24 20:46:00,0.206,0,240.8,0.8,0,0,0
2007-06-23 00:00:00,2026-04-24 21:45:00,0.314,0.244,240.89,1.6,0,1,0
2008-12-07 00:00:00,2026-04-24 16:21:00,0.67,0.438,239.8,3.4,1,0,1
2008-02-03 00:00:00,2026-04-24 20:27:00,1.402,0.086,239.1,5.8,0,2,0
2008-02-07 00:00:00,2026-04-24 13:11:00,0.316,0.202,240.34,1.6,0,0,0
2008-07-25 00:00:00,2026-04-24 14:24:00,0.146,0,238.04,0.6,0,0,0
2008-09-27 00:00:00,2026-04-24 00:24:00,0.252,0.134,244.26,1.2,0,0,1
2008-04-24 00:00:00,2026-04-24 12:23:00,0.35,0.106,239.02,1.4,0,0,0
2009-05-19 00:00:00,2026-04-24 12:45:00,1.31,0,239.93,5.4,0,0,18
2008-06-14 00:00:00,2026-04-24 13:24:00,2.014,0.322,238.19,8.4,0,2,28
2009-04-23 00:00:00,2026-04-24 07:49:00,1.46,0.088,239.13,6,0,0,18
2007-06-25 00:00:00,2026-04-24 17:26:00,0.322,0.244,242.2,1.6,0,1,0
2008-09-01 00:00:00,2026-04-24 14:54:00,0.31,0,247.68,1.4,0,0,0
2007-03-17 00:00:00,2026-04-24 00:40:00,0.322,0.09,240.78,1.4,0,0,0
2007-08-29 00:00:00,2026-04-24 19:09:00,1.63,0.208,238.63,6.8,0,0,17
2008-12-12 00:00:00,2026-04-24 09:23:00,1.292,0.068,241.8,5.2,0,0,18
2008-02-07 00:00:00,2026-04-24 22:15:00,3.956,0.186,235.07,16.8,37,1,18
2009-11-19 00:00:00,2026-04-24 12:54:00,1.572,0.31,241.05,6.6,0,2,19
2010-07-01 00:00:00,2026-04-24 12:10:00,1.362,0,245.65,5.4,0,0,19
2010-06-13 00:00:00,2026-04-24 10:05:00,0.27,0,238.16,1.2,1,0,1
2008-09-30 00:00:00,2026-04-24 09:37:00,1.416,0.122,241.65,5.8,0,0,19
2007-02-22 00:00:00,2026-04-24 15:20:00,0.328,0,243.11,1.4,0,0,0
2007-02-21 00:00:00,2026-04-24 19:42:00,4.04,0.32,234.22,17.2,0,35,0
2008-08-07 00:00:00,2026-04-24 15:36:00,0.366,0.218,240.51,1.8,0,1,1
2009-10-18 00:00:00,2026-04-24 02:02:00,1.352,0,238.76,5.6,0,0,18
2007-08-23 00:00:00,2026-04-24 19:47:00,0.926,0.39,241.13,4,0,0,0
2009-09-27 00:00:00,2026-04-24 21:34:00,3.786,0.326,236.07,16.8,18,1,28
2007-01-27 00:00:00,2026-04-24 03:12:00,0.39,0.24,242.88,1.8,0,0,0
2010-06-30 00:00:00,2026-04-24 09:34:00,0.274,0.126,242.66,1.2,0,1,0
2008-12-22 00:00:00,2026-04-24 22:45:00,2.054,0.058,237.74,8.6,0,0,17
2007-06-25 00:00:00,2026-04-24 18:41:00,0.216,0.076,244.13,1,0,0,0
2008-08-19 00:00:00,2026-04-24 12:33:00,0.174,0.148,239.57,0.8,0,0,1
2009-12-07 00:00:00,2026-04-24 02:33:00,0.134,0,245.2,0.6,0,0,1
2007-02-12 00:00:00,2026-04-24 02:39:00,1.598,0.418,242.78,6.8,0,0,0
2007-10-09 00:00:00,2026-04-24 00:24:00,1.278,0.074,243.29,5.2,0,0,18
